# Australian locality gazetteer — suburb/locality<TAB>LGA<TAB>state<TAB>lat<TAB>lng
# Source: GeoNames (geonames.org, CC-BY 4.0) — AU.txt feature class P joined with admin2Codes.txt
# LGA state disambiguators like "Central Coast (NSW)" are stripped (state is its own column).
# State from admin1 code: 01=ACT 02=NSW 03=NT 04=QLD 05=SA 06=TAS 07=VIC 08=WA.
# Refresh: download https://download.geonames.org/export/dump/AU.zip and admin2Codes.txt, re-run the awk join (see Docs).
# Generated: 2026-07-07
Akaroa	Break O'Day	TAS	-41.28851	148.34092
Akolele	Eurobodalla	NSW	-36.35549	150.07722
Akoonah	Clarence Valley	NSW	-29.56685	153.05306
Alabama Hill	Charters Towers	QLD	-20.08226	146.24839
Alagala	Parkes	NSW	-32.4	147.7
Alambie	Ballina	NSW	-28.7792	153.51644
Alan Doone	Bogan	NSW	-32.04611	146.63345
Alanvale	Launceston	TAS	-41.38595	147.11571
Alawa	Darwin	NT	-12.37954	130.8732
Alawoona	Loxton Waikerie	SA	-34.73333	140.51667
Albacutya	Hindmarsh	VIC	-35.73804	141.95894
Albanvale	Brimbank	VIC	-37.74609	144.76856
Albany	Albany	WA	-35.02692	117.88369
Albany Creek	Moreton Bay	QLD	-27.35364	152.96848
Albany city centre	Albany	WA	-35.02479	117.88472
Albert	Lachlan	NSW	-32.35	147.5
Albert Park	Charles Sturt	SA	-34.87201	138.51966
Albert Park	Port Phillip	VIC	-37.84107	144.95198
Alberta	Banana	QLD	-24.31581	149.80062
Alberton	Dorset	TAS	-41.30775	147.79572
Alberton	Gold Coast	QLD	-27.7	153.25
Alberton	Port Adelaide Enfield	SA	-34.85925	138.52138
Alberton	Wellington	VIC	-38.61667	146.66667
Alberton West	Wellington	VIC	-38.6	146.6
Albion	Brimbank	VIC	-37.78017	144.81724
Albion	Brisbane	QLD	-27.43357	153.04449
Albion Park	Shellharbour	NSW	-34.57132	150.77568
Albion Park Rail	Shellharbour	NSW	-34.56634	150.79177
Albrighton	Winton	QLD	-22.00544	142.3947
Albury	Albury	NSW	-36.07482	146.92401
Albush	Snowy Monaro	NSW	-36.22472	148.83001
Alcomie	Circular Head	TAS	-40.93027	145.18956
Aldavilla	Kempsey	NSW	-31.0818	152.7679
Aldergrove	Streaky Bay	SA	-32.58996	134.29949
Alderley	Brisbane	QLD	-27.42553	153.00102
Aldermans Outstation		SA	-33.24477	139.79059
Aldershot	Fraser Coast	QLD	-25.46312	152.66348
Aldersyde	Brookton	WA	-32.3747	117.28336
Aldgate	Adelaide Hills	SA	-35.01667	138.73333
Aldinga	Onkaparinga	SA	-35.28333	138.48333
Aldinga	Richmond Valley	NSW	-28.88554	152.91949
Aldinga Beach	Onkaparinga	SA	-35.27826	138.45802
Aldoga	Gladstone	QLD	-23.82284	151.06931
Alectown	Parkes	NSW	-32.93333	148.25
Alexander Heights	Wanneroo	WA	-31.82758	115.86501
Alexandra	Mackay	QLD	-21.16667	149.1
Alexandra	Murrindindi	VIC	-37.19132	145.7112
Alexandra Bridge	Augusta Margaret River	WA	-34.15923	115.19727
Alexandra Headland	Sunshine Coast	QLD	-26.67154	153.10058
Alexandra Hills	Redland	QLD	-27.53221	153.22889
Alexandria	Sydney	NSW	-33.89989	151.19951
Alexandrina		SA	-33.3137	139.7622
Alford	Barunga West	SA	-33.81667	137.81667
Alfords Point	Sutherland	NSW	-33.98744	151.02526
Alfred Cove	Melville	WA	-32.03316	115.81259
Alfred Lodge	Byron	NSW	-28.68304	153.5682
Alfred Town	Wagga Wagga	NSW	-35.16155	147.51038
Alfredton	Ballarat	VIC	-37.56667	143.81667
Algebuckina		SA	-27.90892	135.81678
Algester	Brisbane	QLD	-27.61279	153.03239
Ali Curung	Barkly	NT	-21.01987	134.32485
Alice	Barcaldine	QLD	-23.56667	145.8
Alice	Clarence Valley	NSW	-29.0555	152.5879
Alice Creek	South Burnett	QLD	-26.76268	151.59438
Alice River	Townsville	QLD	-19.33437	146.61391
Alice Springs	Alice Springs	NT	-23.69748	133.88362
Alice Springs city centre	Alice Springs	NT	-23.69697	133.88176
Alinga Park	Streaky Bay	SA	-32.83133	134.47888
Alison	Central Coast	NSW	-33.27679	151.40207
Alkimos	Wanneroo	WA	-31.63039	115.68638
Alkoomie	Kyogle	NSW	-28.74369	152.62665
Allambee	Baw Baw	VIC	-38.26667	146.03333
Allambee	Lismore	NSW	-28.94043	153.28119
Allambee Reserve	Baw Baw	VIC	-38.29841	146.05922
Allambee South	South Gippsland	VIC	-38.35	146.1
Allambi	Ballina	NSW	-28.95237	153.41393
Allambi	Mid-Western	NSW	-32.70697	149.33676
Allambie Heights	Northern Beaches	NSW	-33.76655	151.24981
Allan	Southern Downs	QLD	-28.20171	151.95117
Allan Dale	Snowy Monaro	NSW	-36.26908	148.86494
Allanaville	Lismore	NSW	-28.78759	153.20698
Allanby	Hindmarsh	VIC	-36.15	141.9
Allandale	Bathurst	NSW	-33.16667	149.7
Allandale	Cessnock	NSW	-32.72461	151.40936
Allandale	Cootamundra-Gundagai	NSW	-34.58482	148.16324
Allandale	Scenic Rim	QLD	-28.01213	152.74824
Allans Flat	Indigo	VIC	-36.26667	146.9
Allansford	Warrnambool	VIC	-38.38639	142.59431
Allanson	Collie	WA	-33.33588	116.0994
Allawah	Georges River	NSW	-33.97257	151.1144
Allawah	Goulburn Mulwaree	NSW	-34.99622	149.80196
Alleena	Bland	NSW	-34.0688	147.13916
Allenby Gardens	Charles Sturt	SA	-34.89766	138.55425
Allendale	Hepburn	VIC	-37.36667	143.93333
Allendale	Richmond Valley	NSW	-28.93243	152.89427
Allendale East	Grant	SA	-38.00374	140.7092
Allendale North	Light	SA	-34.30113	138.91468
Allens Rivulet	Kingborough	TAS	-43.01511	147.2014
Allenstown	Rockhampton	QLD	-23.39403	150.50393
Allenview	Scenic Rim	QLD	-27.90622	152.93853
Allestree	Glenelg	VIC	-38.28333	141.65
Allgomera	Nambucca Valley	NSW	-30.81817	152.79552
Allies Creek	North Burnett	QLD	-26.0909	151.10849
Alligator Creek	Mackay	QLD	-21.33333	149.2
Alligator Creek	Townsville	QLD	-19.39176	146.93784
Alligator Heads		NT	-12.48333	131.58333
Allingham	Barkly	NT	-18.71735	136.2981
Allingham	Hinchinbrook	QLD	-18.66667	146.25
Allora	Snowy Monaro	NSW	-36.30099	148.83817
Allora	Southern Downs	QLD	-28.03484	151.98058
Alloway	Bundaberg	QLD	-24.95682	152.35981
Allworth	Mid-Coast	NSW	-32.5368	151.9418
